data_type,Werkstoff (Hilfsspalte),Schmelzzonendicke / µm,Fügezeit,Nennleistung / W,d_f / mm,λ_K / W/(m*K),c_p_K / J/(kg*K),ρ_K / kg/m^3,H_s_K / kJ/kg,T_im_K / °C,t_M / mm,λ_M / W/(m*K),c_p_M / J/(kg*K),ρ_M / kg/m^3
train,PA 6.6,"73,00","1,00","1.000,00","5,26","0,31","1.456,00","1.135,00","46,00","235,00","1,50","185,00","1.090,00","2.700,00"
train,PA 6.6,"160,00","2,00","1.000,00","5,26","0,31","1.456,00","1.135,00","46,00","235,00","1,50","185,00","1.090,00","2.700,00"
train,PA 6.6,"230,00","3,00","1.000,00","5,26","0,31","1.456,00","1.135,00","46,00","235,00","1,50","185,00","1.090,00","2.700,00"
train,PA 6.6,"287,00","4,00","1.000,00","5,26","0,31","1.456,00","1.135,00","46,00","235,00","1,50","185,00","1.090,00","2.700,00"
train,PA 6.6,"337,00","5,00","1.000,00","5,26","0,31","1.456,00","1.135,00","46,00","235,00","1,50","185,00","1.090,00","2.700,00"
train,PA 6.6,"384,00","6,00","1.000,00","5,26","0,31","1.456,00","1.135,00","46,00","235,00","1,50","185,00","1.090,00","2.700,00"
train,PA 6.6,"427,00","7,00","1.000,00","5,26","0,31","1.456,00","1.135,00","46,00","235,00","1,50","185,00","1.090,00","2.700,00"
train,PA 6.6,"466,00","8,00","1.000,00","5,26","0,31","1.456,00","1.135,00","46,00","235,00","1,50","185,00","1.090,00","2.700,00"
train,PA 6.6,"504,00","9,00","1.000,00","5,26","0,31","1.456,00","1.135,00","46,00","235,00","1,50","185,00","1.090,00","2.700,00"
train,PA 6.6,"540,00","10,00","1.000,00","5,26","0,31","1.456,00","1.135,00","46,00","235,00","1,50","185,00","1.090,00","2.700,00"
train,PA 6.6,"0,00","1,00","1.000,00","5,26","0,31","1.456,00","1.135,00","46,00","235,00","2,00","185,00","1.090,00","2.700,00"
train,PA 6.6,"42,00","2,00","1.000,00","5,26","0,31","1.456,00","1.135,00","46,00","235,00","2,00","185,00","1.090,00","2.700,00"
train,PA 6.6,"104,00","3,00","1.000,00","5,26","0,31","1.456,00","1.135,00","46,00","235,00","2,00","185,00","1.090,00","2.700,00"
train,PA 6.6,"153,00","4,00","1.000,00","5,26","0,31","1.456,00","1.135,00","46,00","235,00","2,00","185,00","1.090,00","2.700,00"
train,PA 6.6,"196,00","5,00","1.000,00","5,26","0,31","1.456,00","1.135,00","46,00","235,00","2,00","185,00","1.090,00","2.700,00"
train,PA 6.6,"235,00","6,00","1.000,00","5,26","0,31","1.456,00","1.135,00","46,00","235,00","2,00","185,00","1.090,00","2.700,00"
train,PA 6.6,"270,00","7,00","1.000,00","5,26","0,31","1.456,00","1.135,00","46,00","235,00","2,00","185,00","1.090,00","2.700,00"
train,PA 6.6,"302,00","8,00","1.000,00","5,26","0,31","1.456,00","1.135,00","46,00","235,00","2,00","185,00","1.090,00","2.700,00"
train,PA 6.6,"334,00","9,00","1.000,00","5,26","0,31","1.456,00","1.135,00","46,00","235,00","2,00","185,00","1.090,00","2.700,00"
train,PA 6.6,"363,00","10,00","1.000,00","5,26","0,31","1.456,00","1.135,00","46,00","235,00","2,00","185,00","1.090,00","2.700,00"
train,PA 6.6,"0,00","1,00","1.000,00","5,26","0,31","1.456,00","1.135,00","46,00","235,00","2,50","185,00","1.090,00","2.700,00"
train,PA 6.6,"0,00","2,00","1.000,00","5,26","0,31","1.456,00","1.135,00","46,00","235,00","2,50","185,00","1.090,00","2.700,00"
train,PA 6.6,"0,00","3,00","1.000,00","5,26","0,31","1.456,00","1.135,00","46,00","235,00","2,50","185,00","1.090,00","2.700,00"
train,PA 6.6,"0,00","4,00","1.000,00","5,26","0,31","1.456,00","1.135,00","46,00","235,00","2,50","185,00","1.090,00","2.700,00"
train,PA 6.6,"6,00","5,00","1.000,00","5,26","0,31","1.456,00","1.135,00","46,00","235,00","2,50","185,00","1.090,00","2.700,00"
train,PA 6.6,"39,00","6,00","1.000,00","5,26","0,31","1.456,00","1.135,00","46,00","235,00","2,50","185,00","1.090,00","2.700,00"
train,PA 6.6,"71,00","7,00","1.000,00","5,26","0,31","1.456,00","1.135,00","46,00","235,00","2,50","185,00","1.090,00","2.700,00"
train,PA 6.6,"101,00","8,00","1.000,00","5,26","0,31","1.456,00","1.135,00","46,00","235,00","2,50","185,00","1.090,00","2.700,00"
train,PA 6.6,"129,00","9,00","1.000,00","5,26","0,31","1.456,00","1.135,00","46,00","235,00","2,50","185,00","1.090,00","2.700,00"
train,PA 6.6,"155,00","10,00","1.000,00","5,26","0,31","1.456,00","1.135,00","46,00","235,00","2,50","185,00","1.090,00","2.700,00"
train,PA 6.6,"34,00","1,00","1.000,00","5,26","0,31","1.456,00","1.135,00","46,00","235,00","1,70","185,00","1.090,00","2.700,00"
train,PA 6.6,"120,00","2,00","1.000,00","5,26","0,31","1.456,00","1.135,00","46,00","235,00","1,70","185,00","1.090,00","2.700,00"
train,PA 6.6,"184,00","3,00","1.000,00","5,26","0,31","1.456,00","1.135,00","46,00","235,00","1,70","185,00","1.090,00","2.700,00"
train,PA 6.6,"238,00","4,00","1.000,00","5,26","0,31","1.456,00","1.135,00","46,00","235,00","1,70","185,00","1.090,00","2.700,00"
train,PA 6.6,"284,00","5,00","1.000,00","5,26","0,31","1.456,00","1.135,00","46,00","235,00","1,70","185,00","1.090,00","2.700,00"
train,PA 6.6,"327,00","6,00","1.000,00","5,26","0,31","1.456,00","1.135,00","46,00","235,00","1,70","185,00","1.090,00","2.700,00"
train,PA 6.6,"366,00","7,00","1.000,00","5,26","0,31","1.456,00","1.135,00","46,00","235,00","1,70","185,00","1.090,00","2.700,00"
train,PA 6.6,"401,00","8,00","1.000,00","5,26","0,31","1.456,00","1.135,00","46,00","235,00","1,70","185,00","1.090,00","2.700,00"
train,PA 6.6,"436,00","9,00","1.000,00","5,26","0,31","1.456,00","1.135,00","46,00","235,00","1,70","185,00","1.090,00","2.700,00"
train,PA 6.6,"468,00","10,00","1.000,00","5,26","0,31","1.456,00","1.135,00","46,00","235,00","1,70","185,00","1.090,00","2.700,00"
validation,PA 6.6,"366,00","7,00","1.000,00","5,26","0,31","1.456,00","1.135,00","46,00","235,00","1,70","185,00","1.090,00","2.700,00"
validation,PA 6.6,"616,00","7,00","1.000,00","5,26","0,31","1.456,00","1.135,00","46,00","235,00","1,00","185,00","1.090,00","2.700,00"
train,PA6.6,"0,00","1,00","600,00","5,26","0,31","1.456,00","1.135,00","46,00","235,00","1,50","185,00","1.090,00","2.700,00"
train,PA6.6,"0,00","2,00","600,00","5,26","0,31","1.456,00","1.135,00","46,00","235,00","1,50","185,00","1.090,00","2.700,00"
train,PA6.6,"0,00","3,00","600,00","5,26","0,31","1.456,00","1.135,00","46,00","235,00","1,50","185,00","1.090,00","2.700,00"
train,PA6.6,"5,00","4,00","600,00","5,26","0,31","1.456,00","1.135,00","46,00","235,00","1,50","185,00","1.090,00","2.700,00"
train,PA6.6,"41,00","5,00","600,00","5,26","0,31","1.456,00","1.135,00","46,00","235,00","1,50","185,00","1.090,00","2.700,00"
train,PA6.6,"75,00","6,00","600,00","5,26","0,31","1.456,00","1.135,00","46,00","235,00","1,50","185,00","1.090,00","2.700,00"
train,PA6.6,"105,00","7,00","600,00","5,26","0,31","1.456,00","1.135,00","46,00","235,00","1,50","185,00","1.090,00","2.700,00"
train,PA6.6,"134,00","8,00","600,00","5,26","0,31","1.456,00","1.135,00","46,00","235,00","1,50","185,00","1.090,00","2.700,00"
train,PA6.6,"160,00","9,00","600,00","5,26","0,31","1.456,00","1.135,00","46,00","235,00","1,50","185,00","1.090,00","2.700,00"
train,PA6.6,"185,00","10,00","600,00","5,26","0,31","1.456,00","1.135,00","46,00","235,00","1,50","185,00","1.090,00","2.700,00"
train,PA6.6,"117,00","1,00","1.200,00","5,26","0,31","1.456,00","1.135,00","46,00","235,00","1,50","185,00","1.090,00","2.700,00"
train,PA6.6,"214,00","2,00","1.200,00","5,26","0,31","1.456,00","1.135,00","46,00","235,00","1,50","185,00","1.090,00","2.700,00"
train,PA6.6,"291,00","3,00","1.200,00","5,26","0,31","1.456,00","1.135,00","46,00","235,00","1,50","185,00","1.090,00","2.700,00"
train,PA6.6,"356,00","4,00","1.200,00","5,26","0,31","1.456,00","1.135,00","46,00","235,00","1,50","185,00","1.090,00","2.700,00"
train,PA6.6,"414,00","5,00","1.200,00","5,26","0,31","1.456,00","1.135,00","46,00","235,00","1,50","185,00","1.090,00","2.700,00"
train,PA6.6,"466,00","6,00","1.200,00","5,26","0,31","1.456,00","1.135,00","46,00","235,00","1,50","185,00","1.090,00","2.700,00"
train,PA6.6,"514,00","7,00","1.200,00","5,26","0,31","1.456,00","1.135,00","46,00","235,00","1,50","185,00","1.090,00","2.700,00"
train,PA6.6,"559,00","8,00","1.200,00","5,26","0,31","1.456,00","1.135,00","46,00","235,00","1,50","185,00","1.090,00","2.700,00"
train,PA6.6,"599,00","9,00","1.200,00","5,26","0,31","1.456,00","1.135,00","46,00","235,00","1,50","185,00","1.090,00","2.700,00"
train,PA6.6,"638,00","10,00","1.200,00","5,26","0,31","1.456,00","1.135,00","46,00","235,00","1,50","185,00","1.090,00","2.700,00"
train,PA6.6,"3,00","1,00","800,00","5,26","0,31","1.456,00","1.135,00","46,00","235,00","1,50","185,00","1.090,00","2.700,00"
train,PA6.6,"85,00","2,00","800,00","5,26","0,31","1.456,00","1.135,00","46,00","235,00","1,50","185,00","1.090,00","2.700,00"
train,PA6.6,"145,00","3,00","800,00","5,26","0,31","1.456,00","1.135,00","46,00","235,00","1,50","185,00","1.090,00","2.700,00"
train,PA6.6,"196,00","4,00","800,00","5,26","0,31","1.456,00","1.135,00","46,00","235,00","1,50","185,00","1.090,00","2.700,00"
train,PA6.6,"240,00","5,00","800,00","5,26","0,31","1.456,00","1.135,00","46,00","235,00","1,50","185,00","1.090,00","2.700,00"
train,PA6.6,"279,00","6,00","800,00","5,26","0,31","1.456,00","1.135,00","46,00","235,00","1,50","185,00","1.090,00","2.700,00"
train,PA6.6,"316,00","7,00","800,00","5,26","0,31","1.456,00","1.135,00","46,00","235,00","1,50","185,00","1.090,00","2.700,00"
train,PA6.6,"350,00","8,00","800,00","5,26","0,31","1.456,00","1.135,00","46,00","235,00","1,50","185,00","1.090,00","2.700,00"
train,PA6.6,"382,00","9,00","800,00","5,26","0,31","1.456,00","1.135,00","46,00","235,00","1,50","185,00","1.090,00","2.700,00"
train,PA6.6,"411,00","10,00","800,00","5,26","0,31","1.456,00","1.135,00","46,00","235,00","1,50","185,00","1.090,00","2.700,00"
train,PA6.6,"73,00","1,00","1.000,00","5,26","0,31","1.456,00","1.135,00","46,00","235,00","1,50","185,00","1.090,00","2.700,00"
train,PA6.6,"160,00","2,00","1.000,00","5,26","0,31","1.456,00","1.135,00","46,00","235,00","1,50","185,00","1.090,00","2.700,00"
train,PA6.6,"230,00","3,00","1.000,00","5,26","0,31","1.456,00","1.135,00","46,00","235,00","1,50","185,00","1.090,00","2.700,00"
train,PA6.6,"287,00","4,00","1.000,00","5,26","0,31","1.456,00","1.135,00","46,00","235,00","1,50","185,00","1.090,00","2.700,00"
train,PA6.6,"337,00","5,00","1.000,00","5,26","0,31","1.456,00","1.135,00","46,00","235,00","1,50","185,00","1.090,00","2.700,00"
train,PA6.6,"384,00","6,00","1.000,00","5,26","0,31","1.456,00","1.135,00","46,00","235,00","1,50","185,00","1.090,00","2.700,00"
train,PA6.6,"427,00","7,00","1.000,00","5,26","0,31","1.456,00","1.135,00","46,00","235,00","1,50","185,00","1.090,00","2.700,00"
train,PA6.6,"466,00","8,00","1.000,00","5,26","0,31","1.456,00","1.135,00","46,00","235,00","1,50","185,00","1.090,00","2.700,00"
train,PA6.6,"504,00","9,00","1.000,00","5,26","0,31","1.456,00","1.135,00","46,00","235,00","1,50","185,00","1.090,00","2.700,00"
train,PA6.6,"540,00","10,00","1.000,00","5,26","0,31","1.456,00","1.135,00","46,00","235,00","1,50","185,00","1.090,00","2.700,00"
validation,PA 6.6,"45,00","1,00","900,00","5,26","0,31","1.456,00","1.135,00","46,00","235,00","1,50","185,00","1.090,00","2.700,00"
validation,PA 6.6,"295,00","5,00","900,00","5,26","0,31","1.456,00","1.135,00","46,00","235,00","1,50","185,00","1.090,00","2.700,00"
validation,PA 6.6,"480,00","10,00","900,00","5,26","0,31","1.456,00","1.135,00","46,00","235,00","1,50","185,00","1.090,00","2.700,00"